human,reply
"Hi, worldlink.",Hello sir. How can we assist you?
Could you please mention your name?,"Sorry sir, We are not allowed to provide our information. Please mention your query."
Could you please mention the Hosting department number?,Sure sir. The web hosting number is 9851044885.
Thank you so much.,Welcome sir.
oi.,Hello sir. How can we help you?
Could you please mention the Hosting number?,Sure sir. The web hosting number is 9851044885.
Thank you so much.,Welcome sir.
"Hey, worldlink.",Hello sir. How can we assist you?
Please mention the Hosting number?,Sure sir. The web hosting number is 9851044885.
Namastae.,Namastae sir/mam. How can we help you?
I am facing the internet problem from past one month.,Please elaborate your issue sir.
I do not want to elabrate my issue. Provide me your concern person number.,"Sorry sir, We do not have direct contact number for the respective branch office but you can contact our phone support team at 9801523051 from where your call will be transferred to your respective branch office."
Namastae sir.,Namastae sir/mam. How can we assist you?
Provide me the concern person number.,Please elaborate your query sir.
I want a new connection. Please mention the sales number.,The sales number is 9801523052.
Thanks a lot.,welcome sir
Namastae,Namastae sir/mam. How can we assist you?
Provide me the advace connection number.,Please elaborate your query sir.
I want a new connection. Please mention the sales number.,The sales number is 9801523052.
Thanks a lot.,welcome sir
oi.,Hello sir/mam. How can we help you?
Could you please number of balaju branch?,"Sorry sir, We do not have direct contact number for the respective branch office but you can contact our phone support team at 9801523051 from where your call will be transferred to your respective branch office."
Are you dump?,No sir/mam.
Hello.,Hello sir/mam. How can we assist you?
My internet is not working. Could you please provie me the concern person number.?,"Sorry sir, We do not have direct contact number for the respective branch office but you can contact our phone support team at 9801523051 from where your call will be transferred to your respective branch office."
Thank you.,Welcome sir/mam.
Namastae.,Namastae sir/mam. How can we assist you?
I am facing the internet problem. I want your number.,"Sorry sir, We do not have direct contact number for the respective branch office but you can contact our phone support team at 9801523051 from where your call will be transferred to your respective branch office."
Oi sunta.,Namastae sir/mam. How can we help you?
I want your branch number.,"Sorry sir, We do not have direct contact number for the respective branch office but you can contact our phone support team at 9801523051 from where your call will be transferred to your respective branch office."
Okay,Welcome sir/mam.
Hey.,Hello sir/mam. How can we assist you?
Please mention the number to contact your representative. I want to update my issue.?,"Sorry sir, We do not have direct contact number for the respective branch office but you can contact our phone support team at 9801523051 from where your call will be transferred to your respective branch office."
Thank you.,Welcome sir. Have a great day.
Namastae,Namastae sir/mam. How can we assist you?
Provide me the branch number.,"Sorry sir, We do not have direct contact number for the respective branch office but you can contact our phone support team at 9801523051 from where your call will be transferred to your respective branch office."
Thanks a lot.,welcome sir/mam
Hello,Hello sir/mam. How can we assist you?
Could you mention me the opening and the closing time of the branch office?,Sure sir.Working Hours: Head office (Jawlakhel) :  7 am to 6pm (Sunday to Friday)11 am to 3 pm (Saturday) Branch Offices :  7 am to 6pm (Sunday to Friday)11 am to 3 pm (Saturday)
Thank you so much,welcome sir/mam
Oi.,Namastae sir/mam. How can we help you?
Could you please mention the opening hour of the branch.,Sure sir.Working Hours: Head office (Jawlakhel) :7 am to 6pm (Sunday to Friday)11 am to 3 pm (Saturday) Branch Offices :  7 am to 6pm (Sunday to Friday)11 am to 3 pm (Saturday)
Thank you so much,welcome sir/mam
Namastae sir.,Namastae sir. How can we assist you?
I want to visit your branch office.,Sure sir.Working Hours: Head office (Jawlakhel) :7 am to 6pm (Sunday to Friday)11 am to 3 pm (Saturday) Branch Offices :  7 am to 6pm (Sunday to Friday)11 am to 3 pm (Saturday)
okay,welcome sir/mam
hi,Namastae sir/mam. How can we help you?
You internet is wrost.,Please mention your query sir.
I want to visit your branch office.,Sure sir.Working Hours: Head office (Jawlakhel) :7 am to 6pm (Sunday to Friday)11 am to 3 pm (Saturday) Branch Offices :  7 am to 6pm (Sunday to Friday)11 am to 3 pm (Saturday)
okay,welcome sir/mam
Hi,Hello sir how can we assist you?
I want your support right now. You internet is really wrost.,PLease elaborate your issue sir.
I want you technician right now.,"Please update your issue, We assure you your issue will be solve as soon as possible."
Shut Up.,Please mention your query sir. Unless you elaborate your issue we will not be able to assist you.
Hello,Hello sir how can we assist you?
I want your support right now. You internet is really wrost.,PLease elaborate your issue sir.
I want you technician right now.,"Please update your issue, We assure you your issue will be solve as soon as possible."
Shut Up.,Please mention your query sir. Unless you elaborate your issue we will not be able to assist you.
Hello,Hello sir how can we assist you?
Hello gentelman I have won the prediction game of your last post.,Please mention the post and the context date.
My username is subhoid. I have won the price of valentine context.,"For prize details, please contact Narendra Maharjan at 9801229883 or email him at narendra.maharjan@worldlink.com.np"
Thank you,Welcome
hi,Namastae sir/mam. How can we help you?
Could you guide me to contact the person for the prizes.,"For prize details, please contact Narendra Maharjan at 9801229883 or email him at narendra.maharjan@worldlink.com.np"
Thank you,Welcome sir/mam and Thank You for your participation!
Hello,Hello sir/mam. How can we assist you?
Could you mention the detail of the prizes that i have won in the context.,Sure sir.
Thank you so much,"For prize details, please contact Narendra Maharjan at 9801229883 or email him at narendra.maharjan@worldlink.com.np"
Hello,You are so welcome sir/mam and Thank You for your participation!
When you will be release the winner name of the last context?,Hello sir/mam. How can we assist you?
Shut up.,It will be posted on our page as soon as possible after the winners are chosen through lucky draw. Please stay connected with us.
Hello,Sorry sir
Could you mention the detail of the winner of that last post context.,Hello sir/mam. How can we assist you?
Thank you so much,It has already posted on our page. Please make the lesure time and visit our page to know the winner name if you got your name in that list please contact Narendra Maharjan at 9801229883 or email him at narendra.maharjan@worldlink.com.np
"Hey, worldlink.",You are welcome sir/mam and Thank You for your participation.
Are you idiot?,Hello sir/mam. How can we assist you?
I am facing issue in the gaming.,Pardon sir/mam
"We are having some issues in online Gaming recently, especially in “Pubg Mobile”. Our team are working on the issue. We apologize for the inconvenience you are facing due to this. We request you to type “what’s my ipv4” in google and share us the screenshot also send us the screenshot of the ping you are getting in-game. We will restart your current session and escalate your details to our concerned team, which will help diagnose the issue further.",Which game are you playing sir/mam?
Hope it will solve as soon as possible.,We are looking into the issue.
hi,Please be patience sir/mam.
My usernme is rahul_idk. I am facing issue in online gaming.,Namastae sir/mam. How can we help you?
Hope so.,"We are having some issues in online Gaming recently, especially in “Pubg Mobile”. Our team are working on the issue. We apologize for the inconvenience you are facing due to this. We request you to type “what’s my ipv4” in google and share us the screenshot also send us the screenshot of the ping you are getting in-game. We will restart your current session and escalate your details to our concerned team, which will help diagnose the issue further."
"Hello, worldlink.",Please be patience sir/mam.
"I am facing the ping issue in the online gaming. I offen play PUBG, CSGO, fortnight, GTA V.",Hello sir/mam. How can we assist you?
You always make the excuses.,"We are having some issues in online Gaming recently, especially in “Pubg Mobile”. Our team are working on the issue. We apologize for the inconvenience you are facing due to this. We request you to type “what’s my ipv4” in google and share us the screenshot also send us the screenshot of the ping you are getting in-game. We will restart your current session and escalate your details to our concerned team, which will help diagnose the issue further."
"oi sunta. Why is your internet not working. I am having issue in the gaming for the past one month. Are you making the joke? You are wasting my time. You only says, ""We are having some issues in online Gaming recently, especially in “Pubg Mobile”. Our team are working on the issue. We apologize for the inconvenience you are facing due to this. We request you to type “what’s my ipv4” in google and share us the screenshot also send us the screenshot of the ping you are getting in-game. We will restart your current session and escalate your details to our concerned team, which will help diagnose the issue further."" What is this? For how long we have to wait.",Please be patience sir/mam. It will solve as soon as possible.
You always make the excuses.,Please be patience sir. We are trying hard to solve the issue as soon as possible. Our team is working to solve the issue as soon as possible sir.
Hello sir.,We apolozied for the inconvinience caused. Issue will be solve as soon as possible sir.
I have been calling your phone support for an hour but i am not able to talk to your representative.,Hello sir/mam. How can we assist you?
Hehe hope so Dude.,"Due to high number of calls on phone support, your call might be on queue."
I am facing issue in Fortnight.,Please mention your query sir.
When it will be solve?,"We are having some issues in online Gaming. Our team are working on the issue. We apologize for the inconvenience you are facing due to this. We request you to type “what’s my ipv4” in google and share us the screenshot also send us the screenshot of the ping you are getting in-game. We will restart your current session and escalate your details to our concerned team, which will help diagnose the issue further."
Well hope so. Thank you.,Please be patience sir/mam. It will solve as soon as possible.
Hello sir,Welcome sir/mam.
I am having problem in the internet. The am getting high ping and latency in the gaming.,Hello sir/mam. How can we assist you?
Are yoou dump?,"We are having some issues in online Gaming. Our team are working on the issue. We apologize for the inconvenience you are facing due to this. We request you to type “what’s my ipv4” in google and share us the screenshot also send us the screenshot of the ping you are getting in-game. We will restart your current session and escalate your details to our concerned team, which will help diagnose the issue further."
Hello,Pardon sir/mam
Are you a bot?,Hello sir/mam. How can we assist you?
Can you solve my issue.?,I am an Artificial Intelligence. How can i assist you sir/mam?
"Well, okay",We can assure you your issue will be solve shortly.
I wanted to know about the worldink.,Please mention your issue sir.
I wanted to know about the services you provided to the user.,What you want to know about the worldlink sir?
Well that interesting.,"Well, we have internet, web hosting, IPTV, Enterprice connection, 24 hour support service."
I only wanated to know about the services you provide to the client,Are you interested in the internet connection sir?
"Hey, idiots.",Okay sir
Are you idiot?,Hello sir/mam. How can we assist you?
What?,Pardon sir/mam
I want to know about the services provided by you.,Please mention your query sir.
Seriously...,"we have internet, web hosting, IPTV, Enterprice connection, 24 hour support service."
okay,Yes sir.
Hello sir.,Okay sir
My internet is not working for the an hour. My browsing is completely slow.,Hello sir/mam. How can we assist you?
Are you sure?,"Please reboot the router once in a while. If that does not resolve the issue, speedtest using LAN cable and share us the result.to further troubleshoot the issue."
Okay sir.,"Yes sir/mam, We are."
hi,Okay sir/mam
You internet is wrost. I am facing completely slow browing in the connection.,Namastae sir/mam. How can we help you?
I have not reboot my router for the past six days.,How offen do you reboot your router sir/mam?
Does it solve my issue ?,"Please reboot the router once in a while. If that does not resolve the issue, speedtest using LAN cable and share us the result to further troubleshoot the issue."
Okay bro catch you later,"Obeously sir, Please try it once."
"Hey, nigga.",sure sir.
My usernme is bikramma_home. I am facing issue Browsing.,Namastae sir/mam. How can we help you?
I have not reboot my router for the past six days.,How offen do you reboot your router sir/mam?
Does it solve my issue ?,"Please reboot the router once in a while. If that does not resolve the issue, speedtest using LAN cable and share us the result to further troubleshoot the issue."
catch you later,"Obeously sir, Please try it once."
Oi why my internet is not working.,sure sir.
My internet is not working for the past two month.,Namastae sir/mam.Please elaborate your issue.
Why are you asking me this question?,How are you from the router sir/mam?
Is this a joke?,We want to solve your issue sir.
Are you making fun of me?,"No sir, Its the reality."
Check my username talaekinachaheyo.,"No sir, Please elaborate your query."
Make it fast bro.,Please wait for the moment sir.
I guest it has been twenty days.,How long it has been you have not reboot your router sir/mam?
Okay,"Please reboot the router once a while. If that does not resolve the issue, speedtest using LAN cable and share us the result to further troubleshoot the issue."
So kind of you.,Okay sir/mam. If you face the same issue please feel free to contact us.
Hello Gentalmen,Thank you sir/mam
My internet is not working for the past few day.,Hello sir how can we assist you?
I am next to my router friend.,How far are you from the router sir/mam?
Well i have Huawei router. There is red light in the los.,How many lights are glowing in your router sir/mam?
Could you please elaborate your issue?,Please reboot the router and check after a while sir.
Okay Please wait for the while.,There seems to be loss of the signal from the nearest server to your network. Please reboot the router and check.
It is not working brother.,Sure sir.
How long it will take my friend?,There seem to be issue in your connection we have update the issue to the concern branch . They will contact you as soon as possible.
Okay Thank you so much,It will solve as soon as possible. OUr team will contact you shortly.
"Hey, worldlink.",Welcome sir
I want to know about your safenet services.,Hello sir/mam. How can we assist you?
Does it really work?,"Okay sirSafeNet allows parental control what internet content is accessible over Worldlink broadband connection. It allows our users to select which category of content they wish to restrict and at what timings.It keeps your family cyber secure which is a necessary priority in today's digital world. But before you can protect yourself against it, it's important to understand exactly what cyber risk is.SafeNet gives you full control over the internet which allows one to control the contents they wish to allow on their internet, it can be specified with timings too. Making internet always a better and safer place for you and your family."
Okay,Yes sir. It really do.
Namastae.,okay sir/mam
Can you explain me about the safenet services?,Namastae sir. How can we help you?
Thanks a lot,"SafeNet allows parental control what internet content is accessible over Worldlink broadband connection. It allows our users to select which category of content they wish to restrict and at what timings.It keeps your family cyber secure which is a necessary priority in today's digital world. But before you can protect yourself against it, it's important to understand exactly what cyber risk is.SafeNet gives you full control over the internet which allows one to control the contents they wish to allow on their internet, it can be specified with timings too. Making internet always a better and safer place for you and your family."
Hello sir,Welcome sir/mam
Hello idiots i want to know about the safenet services?,Hello sir/mam. How can we assist you?
Okay,"SafeNet allows parental control what internet content is accessible over Worldlink broadband connection. It allows our users to select which category of content they wish to restrict and at what timings.It keeps your family cyber secure which is a necessary priority in today's digital world. But before you can protect yourself against it, it's important to understand exactly what cyber risk is.SafeNet gives you full control over the internet which allows one to control the contents they wish to allow on their internet, it can be specified with timings too. Making internet always a better and safer place for you and your family."
Hello.,Okay sir/mam
Please mention about the safenet?,Hello sir/mam. How can we assist you?
Thank you.,"SafeNet allows parental control what internet content is accessible over Worldlink broadband connection. It allows our users to select which category of content they wish to restrict and at what timings.It keeps your family cyber secure which is a necessary priority in today's digital world. But before you can protect yourself against it, it's important to understand exactly what cyber risk is.SafeNet gives you full control over the internet which allows one to control the contents they wish to allow on their internet, it can be specified with timings too. Making internet always a better and safer place for you and your family."
oi worldlink.,Its my pleasure.
Tero tauko.,Hello sir/mam. How can we assist you?
Tell me about your self.,Sorry sir/mam.
Tell me how can i block certain contain of the web application?,We are not allowed to update our information to our clinet accorsing to the copany policy. Please elaborate your query sir.
I want to block the adult content.,What do you want to block sir/mam?
What? Can you explain about that content.,To block the adult content we have got the safenet feature.
woo thats great.,"SafeNet allows parental control what internet content is accessible over Worldlink broadband connection. It allows our users to select which category of content they wish to restrict and at what timings.It keeps your family cyber secure which is a necessary priority in today's digital world. But before you can protect yourself against it, it's important to understand exactly what cyber risk is.SafeNet gives you full control over the internet which allows one to control the contents they wish to allow on their internet, it can be specified with timings too. Making internet always a better and safer place for you and your family."
OKay Thank you,Yes sir Thats amazing.
....,welcome sir.
Tell me how can i block certain contain of the web application?,Hello sir/mam. How can we assist you?
I want to block the online gaming.,What do you want to block sir/mam?
I want to block the facebook.,We can only block the web application sir/mam.
Umm. OKay how can we do that.,Well it can be done but only from the web application. It can be block from the mobile application.
What is that?,Do you know about the safenet sir?
OKay Thank you,"SafeNet allows parental control what internet content is accessible over Worldlink broadband connection. It allows our users to select which category of content they wish to restrict and at what timings.It keeps your family cyber secure which is a necessary priority in today's digital world. But before you can protect yourself against it, it's important to understand exactly what cyber risk is.SafeNet gives you full control over the internet which allows one to control the contents they wish to allow on their internet, it can be specified with timings too. Making internet always a better and safer place for you and your family."
I have some query regarding the internet services.,Hello sir/mam. How can we assist you?
I want to block the PUBG game.,Please elaborate  your query sir.
Then how can i block the game.,That is not possible sir. PUBG is the mobile application game. We cannot block the mobile application game.
Okay.,You can block the certain mobile phone or you decrease the bandwidth which make the player irritating while playing the game.
Hey buddy,Okay sir/mam
I have been suffering from the serious internet issue.,Hello sir/mam. How can we assist you?
Someone is trying to steel my wifi.,Please elaborate your query sir/mam.
I prefer to hide my network so that other can not find it easily.,Okay you want to change your wifi password or the hide your network.
Thank you so much for your support.,Okay sir/mamWe have got two method to hide the network. Steps to hide WiFi SSID From Official website: 1. Go to our website: WorldLink.com.np 2. Click on Online Services 3. Enter your username and online services password on the given field. 4. Click on “UPDATE SSID” Button 5. Check the hide SSID option. 6. Click on “save changes” button. 7. Restart your Router From mobile application. 1. Open myWorldLink application. 2. Tap on left sidebar. 3. Tap on Home Network. 4. Tap on Main Router 5. Tap on the setting icon the right top corner 6. Tap on Change password. 7. Tap on “Wifi”. 8. Check the hide SSID option and tap on “Save”.
Hey,Welcome sir/mam
I want to hide my wifi ssid bro.,Hello sir/mam. How can we assist you?
Thank you so much for your support.,Okay sir/mamWe have got two method to hide the network. Steps to hide WiFi SSID From Official website: 1. Go to our website: WorldLink.com.np 2. Click on Online Services 3. Enter your username and online services password on the given field. 4. Click on “UPDATE SSID” Button 5. Check the hide SSID option. 6. Click on “save changes” button. 7. Restart your Router From mobile application. 1. Open myWorldLink application. 2. Tap on left sidebar. 3. Tap on Home Network. 4. Tap on Main Router 5. Tap on the setting icon the right top corner 6. Tap on Change password. 7. Tap on “Wifi”. 8. Check the hide SSID option and tap on “Save”.
Hi,Welcome sir/mam
Could you guide me to hide the wifi password?,Hello sir/mam. How can we assist you?
Thank you so much for your support.,Sure sir.We have got two method to hide the network. Steps to hide WiFi SSID From Official website: 1. Go to our website: WorldLink.com.np 2. Click on Online Services 3. Enter your username and online services password on the given field. 4. Click on “UPDATE SSID” Button 5. Check the hide SSID option. 6. Click on “save changes” button. 7. Restart your Router From mobile application. 1. Open myWorldLink application. 2. Tap on left sidebar. 3. Tap on Home Network. 4. Tap on Main Router 5. Tap on the setting icon the right top corner 6. Tap on Change password. 7. Tap on “Wifi”. 8. Check the hide SSID option and tap on “Save”.
Hey brother.,Welcome sir/mam
Are you idiot?,Hello sir/mam. How can we assist you?
What?,Pardon sir/mam
I want to know how to hide my wifi ssid name.From Official website,Please mention your query sir.
okay Let me try,From Official website: 1. Go to our website: WorldLink.com.np 2. Click on Online Services 3. Enter your username and online services password on the given field. 4. Click on “UPDATE SSID” Button 5. Check the hide SSID option. 6. Click on “save changes” button. 7. Restart your Router From mobile application. 1. Open myWorldLink application. 2. Tap on left sidebar. 3. Tap on Home Network. 4. Tap on Main Router 5. Tap on the setting icon the right top corner 6. Tap on Change password. 7. Tap on “Wifi”. 8. Check the hide SSID option and tap on “Save”.
Hey worldink,sure sir/mam
I want to know about my online services password.,Hello sir/mam. How can we assist you?
Are you sure it reset my online serviceds password?,Okay sir.To reset your services password: Go to www.worldlink.com.np Click on “Online Services” (https://eservice.worldlink.com.np/login/) Click on “Forgot Password?” (https://eservice.worldlink.com.np/recover/forgot_password) Enter your username and email address/mobile number registered to the username.
Okay,Yes sir. WE are 100% sure. It will reset your online services password.
oi,Okay sir.
I want to know about password.,Hello sir/mam. How can we assist you?
I want to know about my online services password. How can i reset it?,Which password you want to know sir/mam?
Are you sure it reset my online serviceds password?,To reset your online services passwordTo reset your services password: Go to www.worldlink.com.np Click on “Online Services” (https://eservice.worldlink.com.np/login/) Click on “Forgot Password?” (https://eservice.worldlink.com.np/recover/forgot_password) Enter your username and email address/mobile number registered to the username.
Thank you pasa,Above steps will reset your online services password. It will reset your online services password.
Hey brother,welcome sir.
I want know my TV password,Hello sir/mam. How can we assist you?
Are you sure it reset my online serviceds password?,Okay sir.To reset your services password: Go to www.worldlink.com.np Click on “Online Services” (https://eservice.worldlink.com.np/login/) Click on “Forgot Password?” (https://eservice.worldlink.com.np/recover/forgot_password) Enter your username and email address/mobile number registered to the username.
Okay,Yes sir. WE are 100% sure. It will reset your online services password.
Hi,Okay sir.
I want know web login password,Hello sir/mam. How can we assist you?
Are you sure it reset my online serviceds password?,To reset your  password: Go to www.worldlink.com.np Click on “Online Services” (https://eservice.worldlink.com.np/login/) Click on “Forgot Password?” (https://eservice.worldlink.com.np/recover/forgot_password) Enter your username and email address/mobile number registered to the username.
Okay,Okay sir.
Hey my internet is not working.,Please mention your query.
Sala Kutta kamina.,If you continue using such offensive and vulgar words to seek our assistance. We will be compelled to blacklist you from Online Support services. Thank You!
Oi sale khate,If you continue using such offensive and vulgar words to seek our assistance. We will be compelled to blacklist you from Online Support services. Thank You!
Oi mug,If you continue using such offensive and vulgar words to seek our assistance. We will be compelled to blacklist you from Online Support services. Thank You!
Madargat,If you continue using such offensive and vulgar words to seek our assistance. We will be compelled to blacklist you from Online Support services. Thank You!
Fuck you,If you continue using such offensive and vulgar words to seek our assistance. We will be compelled to blacklist you from Online Support services. Thank You!
Hey bitch,If you continue using such offensive and vulgar words to seek our assistance. We will be compelled to blacklist you from Online Support services. Thank You!
Hi mother fucker,If you continue using such offensive and vulgar words to seek our assistance. We will be compelled to blacklist you from Online Support services. Thank You!
"Tero tauko, your head",We created page of WorldLink Communications Ltd. to be an authentic and safe place for providing support and information for our valued customers. We apologize for the inconvenience that you had to face but we strongly disagree with the use of offensive and abusive words.
Hello son of the bitch,We created page of WorldLink Communications Ltd. to be an authentic and safe place for providing support and information for our valued customers. We apologize for the inconvenience that you had to face but we strongly disagree with the use of offensive and abusive words.
Hey bhaster,We created page of WorldLink Communications Ltd. to be an authentic and safe place for providing support and information for our valued customers. We apologize for the inconvenience that you had to face but we strongly disagree with the use of offensive and abusive words.If you continue using such offensive and vulgar words to seek our assistance. We will be compelled to blacklist you from Online Support services. Thank You!
"Hey bhaster, kutta kamina, tero tauko, fuck, o fuck",We created page of WorldLink Communications Ltd. to be an authentic and safe place for providing support and information for our valued customers. We apologize for the inconvenience that you had to face but we strongly disagree with the use of offensive and abusive words.If you continue using such offensive and vulgar words to seek our assistance. We will be compelled to blacklist you from Online Support services. Thank You!
"Hey, worldlink.",Hello sir. How can we assist you?
It has been already a month when my issue will be solve.,Please elaborate your query sir.
For how many times i have to update my issue.,We will ensure you your issue will be solve as soon as possible. Please mention your query sir.
Fuck you,We created page of WorldLink Communications Ltd. to be an authentic and safe place for providing support and information for our valued customers. We apologize for the inconvenience that you had to face but we strongly disagree with the use of offensive and abusive words.If you continue using such offensive and vulgar words to seek our assistance. We will be compelled to blacklist you from Online Support services. Thank You!
Gm,Good Morning and Namaste sir/mam ! Could you please reply us back with your Username? We will make sure everything will be taken care of ! Thank you.
Gud Morning,"Hello and Good Morning Sir/Ma’am,"
I have been facing issue.,Please elaborate your query sir/mam.
None of the lights is glowing in my router.,Is your router adaptor connected with the main electic source?
well now i am far from the home.,Please do update us when you are near to your router sir.
Sure sir.,Okay sir/mam
Hey,Good Morning sir/mam how can we assist you?
My internet is going to be expire. Can i extend my connection for the few days?,Sure mam/sir.We have a limited number of employees available on accounts department on off days. You can use SMS extend or use myWorldlink app to enable your account for 3 days. You can pay your due amount after three days.
Okay,Okay sir/mam
I am facing issue of photo upload from the mobile application.,You want to upload your document to the server from the web application.
Yes,"Steps for uploading document: 1. Click on Online Service. 2. Enter your username and password. 3. Click on ""Update Contact details"". 4. Click on ""Browse"" to upload document (Max size is 512kb). 5. Click on ""UPDATE"""
Thank you,welcome sir/mam
hi,Hello Respected Customer.How can we assist you?
I have recently paid all the due. But my account seem to be deactiavte.,Have you upload your all data to our server?
No i haven't upload all the documents.,"Steps for uploading document1. Click on Online Service. 2. Enter your username and password. 3. Click on ""Update Contact details"". 4. Click on ""Browse"" to upload document (Max size is 512kb). 5. Click on ""UPDATE"""
If i upload all my document. Is this issue will stop?,Yes sir/mam.
Okay sir,Okay sir/mam
Hi,Hello sir/mam how can we assist you?
Today i notice that my document is not upload in the server. How can i upload it?,Well do you use worldlink mobile application.
Yes sir,"Steps for uploading document1. Click on Online Service. 2. Enter your username and password. 3. Click on ""Update Contact details"". 4. Click on ""Browse"" to upload document (Max size is 512kb). 5. Click on ""UPDATE"""
Thank you,Welcome
My internet is not working.,How far are you from the router?
I am one floor down.,Please go near to the router and update us how many lights are glowing in your router?
Please wait for the while sir,Take your time sir/mam.s
There is only one light glowing in the power.,Please reboot your router and check after a while.
Okay sir,Okay sir/mam
Hey my internet is not working.,Hello sir/mam how can we assist you?
All the lights are glowing but my wifi ssid is not showing.,Please reboot your router and check after a while.
Oky,Okay sir
Hey buddy,Hello sir/mam. How can we assist you?
I have been suffering from the serious internet issue.,Please elaborate your query sir/mam.
My internet is not working. I wire has been cut off by the vehicle.,We recommend you to contact our technical support at 9801523051 to get the necessary assistance.
Can't you help?,"We do, It will be more helpfull if you contact above number."
Okay,Okay sir/mam
Hey stupsid dump,Hello sir/mam. How can we assist you?
I want to extend my connection.,Please elaborate your query sir.
I want to add the secondary router sir.,Do you have the secondary router?
Yes sir i do.,"1. Connect your secondary router to your PC with the help of LAN cable.2. Access your secondary router with the default gateway IP address of your router. 3. Login with the default username and password for the router. 4. Go to Wireless settings to set up your WiFi SSID and password. 5. Go to Network settings and make the DHCP disable. 6.  Reboot  your  router  to  save  the  changes. 7. Connect your secondary router's LAN port to the LAN port 1 of the primary router(i.e, ONU device) with the help of LAN cable. If you are still not able to configure your router, please visit our nearest branch office along with your secondary router and its power adapter."
Thank you,Welcome sir/mam
Hey i want to add the secondary router. Can i do that?,Sure sir you can. Do you know how to connect the scondary router?
No i don't. Can you guide me to configure the secondary router?,"sure sir1. Connect your secondary router to your PC with the help of LAN cable. 2. Access your secondary router with the default gateway IP address of your router. 3. Login with the default username and password for the router. 4. Go to Wireless settings to set up your WiFi SSID and password. 5. Go to Network settings and make the DHCP disable. 6.  Reboot  your  router  to  save  the  changes. 7. Connect your secondary router's LAN port to the LAN port 1 of the primary router(i.e, ONU device) with the help of LAN cable. If you are still not able to configure your router, please visit our nearest branch office along with your secondary router and its power adapter."
thank you brother,Welcome sir/mam
